PMID	NCBI_Gene	Mentions	Resource
7812002	17494192	EBNA-2	GNormPlus
7812002	17494204	LMP-1	GNormPlus
7812002	4609	c-myc	GNormPlus
7812002	596	bcl-2	GNormPlus
7812002	7157	p53	GNormPlus
7812002	920	CD4	GNormPlus
7812002	925	CD8	GNormPlus
7812002	9260	LMP-1	GNormPlus
7812017	3558	Interleukin-2	GNormPlus
7812018	2539	Glucose-6-phosphate dehydrogenase	GNormPlus
7812192	4609	c-myc	GNormPlus
7812194	861	AML1	MESH|GNormPlus
7812194	862	ETO|MTG8|myeloid translocation gene on 8	GNormPlus|MESH
7812194	12394	AML1	GNormPlus
7812194	76400	pebp2	GNormPlus
7812196	5917	RARS	GNormPlus
7812199	10903	CRA	GNormPlus
7812207	3502	IgG3|IgG 1, 2, 3 and 4	GNormPlus
7812210	567	beta-2 microglobulin	MESH|GNormPlus
7812458	5621	prion protein|PrP-c|PRNP|PrP	GNormPlus
7812041	379785	p34cdc2	GNormPlus
7812041	394328	cyclin	GNormPlus
7812041	397743	cyclin B2	GNormPlus
7812045	396172	cyclin A	GNormPlus
7812045	426117	cyclin E	GNormPlus
7812211	1401	C-reactive protein	GNormPlus
7812211	567	beta 2-microglobulin	GNormPlus
7812218	24953	glucagon receptor	GNormPlus
7812461	5621	PRNP|PrP|prion protein	MESH|GNormPlus
7812462	19122	PrP|Prion protein	GNormPlus|MESH
7811802	847	Catalase	MESH|GNormPlus
7812046	4905	NSF|NEM-sensitive fusion protein	GNormPlus
7812049	850504	act1|ACT1	GNormPlus
7812075	632	osteocalcin	GNormPlus|MESH
7811646	5775	EEG and MEG	GNormPlus
7812245	5544	g-1	GNormPlus
7811636	29619	PC3	GNormPlus|gene2pubmed|MESH
7811636	310738	NGF|nerve growth factor	GNormPlus
7811636	7832	PC3	GNormPlus
7811638	31442	snf	gene2pubmed|GNormPlus
7811638	3772180	Sex-lethal|Sxl	GNormPlus|BioGRID|gene2pubmed
7811640	13172	Dbx	gene2pubmed|GNormPlus
7811643	54623	PD2	GNormPlus
7812014	25	BCR-ABL	GNormPlus
7812093	3779;10242	beta 1 and 2	GNormPlus
7812093	7040	TGF-beta 1 and 2|transforming growth factor-beta|TGF-beta|TGF-beta 1	GNormPlus
7811647	5775	MEG	GNormPlus
7812101	100616444	env	GNormPlus
7812101	10959	p24	GNormPlus
7812101	155971	env	GNormPlus
7812102	920	CD4	GNormPlus
7811922	2147	serine protease	GNormPlus
7811922	2152	TF|Tissue Factor	GNormPlus
7811922	2159	factor Xa	GNormPlus
7811934	4926	NuMA	GNormPlus
7812109	220972	MIR	GNormPlus
7812284	3106	HLA B	GNormPlus
7812285	1401	C-reactive protein	GNormPlus
7812285	5319	phospholipase A2	GNormPlus
7812286	10927	Spin	GNormPlus
7811935	28545888	cytochrome c	GNormPlus
7812119	213	albumin	MESH|GNormPlus
7812119	7018	transferrin	MESH|GNormPlus
7812125	717	CO2	GNormPlus
7811947	2035	Protein 4.1|protein 4.1	GNormPlus
7811947	2475	FRAP	GNormPlus
7811947	2995	glycophorin C	GNormPlus
7812137	760	Ca2	GNormPlus
7812137	79784	myosin	GNormPlus
7812141	351	A beta	GNormPlus
7812160	7070	Thy1	GNormPlus
7812160	8349	H-2b	GNormPlus
7812162	325	SAP|serum amyloid P component	GNormPlus|MESH
7812163	3565	IL-4	GNormPlus
7812163	3586	IL-10	GNormPlus
7812163	914	CD2	GNormPlus
7812163	920	CD4	GNormPlus
7812163	925	CD8	GNormPlus
7812165	920	CD4	GNormPlus
7812344	3164	Hormone receptor	GNormPlus
7811698	20200	Calcyclin|calcyclin	GNormPlus|MESH
7811698	100348755	Calcyclin	GNormPlus
7811700	3630	insulin	GNormPlus
7811708	6648	Mn-SOD|manganese SOD	GNormPlus
7811954	79784	myosin	GNormPlus
7811963	100134914	hsp70|Hsp70	GNormPlus
7811963	100736433	Hsc70|hsc70	GNormPlus
7812804	171101	gastrin-releasing peptide	GNormPlus
7812804	499194	neuromedin B	GNormPlus
7812810	351	beta-amyloid peptide|A beta	GNormPlus
7812957	2520	gastrin	GNormPlus
7812957	885	Cholecystokinin|cholecystokinin	GNormPlus
7812957	887	gastrin receptor	GNormPlus
7812962	16000	IGF-I	GNormPlus
7812962	16001	IGF-I receptor	GNormPlus
7812962	3479	IGF-I|Insulin-like growth factor I	GNormPlus
7812962	3480	IGF-I receptor	GNormPlus
7813169	10242	beta 2	GNormPlus
7812588	9855	FRG	GNormPlus
7812819	3350	5-HT1A receptor	GNormPlus
7812819	3356	5-HT2 receptor	GNormPlus
7812819	51497	TH1	GNormPlus
7812973	2736	ThP-1	GNormPlus
7812979	3558	IL-2	GNormPlus
7812982	644914	p21	GNormPlus
7812988	5243	P-GP|P-glycoprotein|mdr1	MESH|GNormPlus
7812631	1906;1908	ET-1 and ET-3	GNormPlus
7812631	1908	ET-3 and sarafotoxin 6c	GNormPlus
7812631	1909	ETA	GNormPlus
7812834	100507436	HLA class I antigen	GNormPlus
7812834	3106	HLA-B27	GNormPlus
7813016	84446	sad1	GNormPlus
7813017	4953	ornithine decarboxylase	GNormPlus
7813020	181061	xol-1	MESH|GNormPlus
7813020	6383	sdc-2	GNormPlus
7813219	6462	SHBG|sex hormone-binding globulin	GNormPlus|MESH
7813219	866	corticosteroid-binding globulin	GNormPlus
7812645	6750	somatostatin	GNormPlus
7812650	3458	interferon-gamma	GNormPlus
7812650	3552	interleukin-1	GNormPlus
7812650	834	interleukin-1 beta converting enzyme	GNormPlus
7812649	7124	tumor necrosis factor|TNF	GNormPlus
7812839	17196	mBP	GNormPlus
7812652	7852	chemokine receptor	GNormPlus
7812655	19122	Prion protein|PrP	GNormPlus
7812655	281427	prion protein|PrP	GNormPlus
7812657	155908	Rev	GNormPlus
7812844	100009274	ACE	GNormPlus
7812848	3630	Insulin|insulin	GNormPlus
7813046	19293	parvalbumin	GNormPlus
7813046	20194	P11	GNormPlus
7813046	20202	P14	GNormPlus
7813046	69745	P12	GNormPlus
7812658	55193	PB1	GNormPlus
7812658	856862	NPI-1	GNormPlus
7812666	51497	TH1	GNormPlus
7813053	627	BDNF|brain-derived neurotrophic factor	GNormPlus
7813061	5319	phospholipase A2	GNormPlus
7813068	338	apolipoprotein B	GNormPlus
7813070	57338	HDL2	GNormPlus
7812672	728	C5a	GNormPlus
7812677	1959	early growth response gene-2|EGR2	GNormPlus
7812677	2353	c-fos|FOS	GNormPlus
7812677	760	Ca2	GNormPlus
7812689	3779	beta 1	GNormPlus
7812692	2796	LHRH	GNormPlus
7812882	3565	IL-4	GNormPlus
7813005	6606	SMA	GNormPlus
7813073	348	apolipoprotein E|Apolipoprotein E	GNormPlus
7813073	53369	HDL3	GNormPlus
7813073	57338	HDL2	GNormPlus
7813075	338	apoB100	MESH|GNormPlus
7813075	4018	lipoprotein(a)|Lp(a)|Lipoprotein(a)|apolipoprotein(a)	GNormPlus
7813081	175	glycosylasparaginase|GA	GNormPlus
7813083	1760	myotonin protein kinase	GNormPlus
7813084	348	Apolipoprotein E2|apo E|apo E2|apo E3|apo E4|apolipoprotein (apo) E	GNormPlus|MESH
7812520	1380	CD21	GNormPlus
7812520	4502	MT2	GNormPlus
7812520	54474	CD20	GNormPlus
7812520	5788	CD45	GNormPlus
7812520	968	CD68	GNormPlus
7812520	973	MB1	GNormPlus
7812538	717	CO2	GNormPlus
7812542	920	CD4	GNormPlus
7812704	2703	CAE	GNormPlus
7812712	7157	p53	GNormPlus
7813100	3040	Alphaglobin	GNormPlus
7812545	7450	vWF	GNormPlus
7812546	920	CD4	GNormPlus
7812546	925	CD8	GNormPlus
7813101	3576	IL-8	GNormPlus
7813101	60498	IgAN	GNormPlus
7813105	3553	IL-1|IL-1 beta	GNormPlus
7813105	968	CD68	GNormPlus
7813106	920	CD4	GNormPlus
7813108	1028	p57	GNormPlus
7813108	6737	Ro(SSA)	GNormPlus
7813108	6741	La(SSB)	GNormPlus
7813111	16189	IL-4	GNormPlus
7813111	16190	IL-4 receptor|IL-4R	GNormPlus
7812548	3576	IL-8|interleukin-8	GNormPlus
7812548	6348	MIP-1 alpha|macrophage inflammatory protein-1 alpha	GNormPlus
7812548	925	CD8	GNormPlus
7812549	3117	HLA DQ alpha	GNormPlus
7812553	2147	serine protease	GNormPlus
7812735	1644	DOPA decarboxylase	GNormPlus
7812738	10927	spin-1	GNormPlus
7812738	1909	eta	GNormPlus
7812919	7431	Vimentin	GNormPlus|MESH
7812919	2026	neuron-specific enolase	GNormPlus
7812919	27087	Leu-7	GNormPlus
7812919	6271	S100	GNormPlus
7812746	169981;54466	spin 3/2 and 9/2	GNormPlus
7812928	11870	YAC-1	GNormPlus
7812928	16183	interleukin-2	GNormPlus
7812765	25351	GLUT2	GNormPlus
7812765	6514	GLUT2	GNormPlus
7812939	847	catalase	GNormPlus|MESH
7812939	2936	glutathione reductase	GNormPlus
7812939	373156	glutathione-S-transferase	GNormPlus
7812576	3559	CD25	GNormPlus
7812576	3689	CD18	GNormPlus
7812576	920	CD4	GNormPlus
7812576	929	CD14	GNormPlus
7812780	1270	CNTF	GNormPlus
7812780	25707	CNTF|ciliary neurotrophic factor	GNormPlus
7812946	7157	p53	GNormPlus
7812948	1029	p16|CDKN2	GNormPlus
7812951	596	bcl-2	GNormPlus
7812951	7157	p53	GNormPlus
7812953	3480	IGF-IR|insulin-like growth factor I receptor	GNormPlus
7813168	10242	beta 2	GNormPlus
7813819	2773	G(i) alpha 1, G(i) alpha 2, G(i) alpha 3	GNormPlus
7813819	2778	Gs alpha	GNormPlus
7813819	6750	somatostatin|Somatostatin	GNormPlus
7813819	91107	G(o) alpha	GNormPlus
7813328	2244	fibrinogen	GNormPlus
7813328	2335	fibronectin	GNormPlus
7813328	7448	vitronectin	GNormPlus
7813513	18792	urokinase-like plasminogen activator|u-PA	GNormPlus
7813514	280733	biglycan	GNormPlus
7813519	25661	fibronectin	GNormPlus
7813519	29154	m-calpain	GNormPlus
7813533	3030	Long-chain 3-hydroxyacyl-CoA dehydrogenase	GNormPlus
7813542	29238	dopamine D3 receptor	MESH|GNormPlus
7813680	17756	microtubule-associated protein 2	GNormPlus
7813681	310218	CA1	GNormPlus
7813344	80218	San	GNormPlus
7813928	25833	PLA1	GNormPlus
7813567	310218	CA1	GNormPlus
7813571	966	min-1	GNormPlus
7813576	4986	kappa-opioid receptor	GNormPlus
7813707	920	CD4	GNormPlus
7813707	925	CD8	GNormPlus
7813710	1440	G-CSF	GNormPlus
7813710	7938	CP20	GNormPlus
7813357	1496187	PAb1801	GNormPlus
7813357	7157	p53	GNormPlus
7813366	54474	CD20	GNormPlus
7813581	3350	5-HT1A receptor|5-HT1A	GNormPlus
7813581	3356	5-HT2 receptor	GNormPlus
7813583	29237	enkephalin	GNormPlus
7813584	759	CA1	GNormPlus
7813921	10855	HPA-1	GNormPlus
7813923	11169	and 1 and 3	GNormPlus
7813598	2688	Growth hormone|growth hormone	GNormPlus
7813599	2688	growth hormone	GNormPlus
7813600	3479	IGF-I|Insulin-like growth factor I	GNormPlus
7813600	6822	DHEA-S	GNormPlus
7813606	25051	GLP-1 receptor	GNormPlus|MESH|gene2pubmed
7813606	24952	glucagon-like peptide 1|GLP-1	GNormPlus
7813609	15526	Mortalin|mortalin	gene2pubmed|MESH|GNormPlus
7813741	3576	NaF	GNormPlus
7813389	9173;292	T1 and T2	GNormPlus
7813397	4137;51115	microtubule-associated protein, tau	GNormPlus
7813614	3156	HMG CoA reductase	GNormPlus
7813614	3159	HMGR	GNormPlus
7813744	5972	renin	GNormPlus
7813269	260431	COPD	GNormPlus
7813624	6962	TCR|T cell receptors	GNormPlus
7813626	397921	Nucleoplasmin|nucleoplasmin	GNormPlus
7813420	22178	DHICA oxidase|TRP1|Tyrosinase related protein 1	MESH|GNormPlus|gene2pubmed
7813420	104042	TRP2	GNormPlus
7813420	13190	DOPAchrome tautomerase|tyrosinase-related protein 2	GNormPlus
7813420	22173	tyrosinase	GNormPlus
7813641	56994	CPT	GNormPlus
7813773	50719	E-16	GNormPlus
7813776	15978	gamma IFN|gamma Interferon|gamma interferon (gamma IFN	GNormPlus|gene2pubmed
7813776	15900	ICSBP	GNormPlus
7813783	19118	Prm-1	gene2pubmed|GNormPlus
7813783	19119	Prm-2	GNormPlus|gene2pubmed
7813421	34908	sna|snail	gene2pubmed|MESH|GNormPlus
7813426	3569	IL-6|interleukin-6|Interleukin-6	GNormPlus
7813426	3570	IL-6R alpha	GNormPlus
7813426	3572	gp130	GNormPlus
7813434	18986	Oct-1	GNormPlus|MESH
7813434	18987	Oct-2	GNormPlus|MESH
7813648	9373	PLAP|phospholipase A2 activating protein	GNormPlus|MESH
7813648	3827	bradykinin	GNormPlus
7813785	2720	beta-galactosidase	GNormPlus
7813786	379053	XMyoD|MyoD	GNormPlus
7813786	380452	MEF2A|XMEF2A	GNormPlus
7813786	399340	MEF2	GNormPlus
7813786	4205	MEF2A	GNormPlus
7813786	6722	SRF|MCM1	GNormPlus
7813791	832523	TTG|ttg	GNormPlus|gene2pubmed
7813280	10242	beta 2	GNormPlus
7813439	7157	p53	GNormPlus
7813440	851624	Cdc34|Ubc3	GNormPlus|MESH
7813440	852822	Rad6|Ubc2	GNormPlus|gene2pubmed|gene_interactions|BioGRID
7813440	856709	Gcn4	BioGRID|gene2pubmed|GNormPlus
7813440	850620	ubiquitin	GNormPlus
7813443	3183	hnRNP	GNormPlus
7813443	57819	snRNP	GNormPlus
7813445	899	Cyclin F|cyclin F	MESH|gene2pubmed|GNormPlus
7813445	5111	cyclin	GNormPlus
7813445	850539	cdc4	GNormPlus
7813445	890	cyclins A and B|cyclin A	GNormPlus
7813654	116677	Par2	GNormPlus
7813654	25439	Par1	GNormPlus
7813799	7471	Wnt-1	GNormPlus
7813800	3298	HSF2	GNormPlus|MESH
7813800	15481	HSC70	GNormPlus
7813800	15499	HSF1	GNormPlus
7813800	15500	Heat shock factor 2|HSF2	GNormPlus
7813800	15519	HSP89	GNormPlus
7813448	6736	SRY	MESH|GNormPlus
7813449	6947	Tc1	GNormPlus
7813459	213	serum albumin	MESH|GNormPlus
7813804	3630	insulin	GNormPlus
7813809	21788	lacI	GNormPlus
7813813	15277	HKII|hexokinase II	RGD|GNormPlus
7813813	20528	GLUT4	MESH|GNormPlus
7813471	60329	relax	GNormPlus
7813473	6534	PROT	GNormPlus
7813478	13112	Cyp3a-11	gene2pubmed|GNormPlus
7813478	13113	Cyp3a-13	gene2pubmed|GNormPlus
7813478	13114	Cyp3a-16	gene2pubmed|GNormPlus
7813816	171528	GLP-I|glucagon-like peptide I	GNormPlus
7813817	19185	AF1	GNormPlus
7813817	20526	GLUT2	GNormPlus
7813818	7035	Tissue factor pathway inhibitor|TFPI|tissue factor pathway inhibitor	GNormPlus
7813488	25253	dipeptidylpeptidase IV	GNormPlus
7814085	590	BuCHE|BuChE|butyrylcholinesterase	GNormPlus|MESH
7814266	4353	H2O2-myeloperoxidase|MPO	GNormPlus
7814714	280804	somatotropin	GNormPlus
7814717	100532204	milk	GNormPlus
7814092	3497	Immunoglobulin E|IgE	GNormPlus
7814101	966	min-1	GNormPlus
7814511	7011359	VP7	GNormPlus
7814719	103157409	calving ease|Calving ease	GNormPlus
7814722	104978413	IGF-I	GNormPlus
7814722	280804	somatotropin	GNormPlus
7814722	281191	growth hormone-releasing factor	GNormPlus
7814522	712	C1q	GNormPlus
7814529	944568	HBeAg	GNormPlus
7814728	513267	ADF	GNormPlus
7814734	104968582	cytochrome c	GNormPlus
7814543	717	CO2	GNormPlus
7814117	6597	SnF2	GNormPlus
7813942	6317	SCC	GNormPlus
7813945	51251	Lupin|lupin	GNormPlus
7814357	1557	CYP2C	GNormPlus
7814357	1565	CYP2D6	GNormPlus
7814363	850911	FRE1|Fre1|Fre1p	GNormPlus|gene2pubmed
7814363	855035	MAC1	GNormPlus|MESH
7814365	851335	ARF1|Arf1	GNormPlus|BioGRID|gene_interactions|gene2pubmed
7814365	853313	HOG4|PBS2|SFS4	gene2pubmed|BioGRID|GNormPlus
7814368	280685	thrombin	GNormPlus
7814603	2641	Glucagon-like peptide-1|GLP-1	GNormPlus
7814604	79425	ClC-K1	MESH|GNormPlus|RGD|gene2pubmed
7814369	29230	SE|Squalene epoxidase|squalene epoxidase	GNormPlus|gene2pubmed|RGD
7814369	117018	ERG 1	GNormPlus
7814376	375	ARF1|hARF1	GNormPlus|MESH
7814376	400	ARL1|hARL1	gene2pubmed|GNormPlus
7814376	2822	phospholipase D|PLD	GNormPlus
7814376	64310	rARF1	GNormPlus
7814383	108718427	p58	GNormPlus
7814383	394429	p54	GNormPlus
7814383	496405	p97	GNormPlus
7814606	100715102	Trp2	GNormPlus
7813983	3730	kal	GNormPlus
7814142	283131	Vinc	GNormPlus
7814142	283871	Pgp|P-gp	GNormPlus
7814142	4363	MRP	GNormPlus
7814145	1969	ECK	GNormPlus
7814145	2064	ERB-B2	GNormPlus
7814145	2264	FGF-R4	GNormPlus
7814145	3480	IGFI-R	GNormPlus
7814145	3791	KDR	GNormPlus
7814145	4914	TRK-A	GNormPlus
7814145	5979	RET	GNormPlus
7814152	596	Bcl-2	GNormPlus
7814155	4828	nmb	GNormPlus
7814155	6490	pMEL17	GNormPlus
7814155	68039	nmb	GNormPlus
7814384	104974671	phospholipase A2|PLA2	GNormPlus
7814385	5595	p44erk-1	MESH|GNormPlus
7814385	2335	fibronectin	GNormPlus
7814385	3688	beta 1 integrins	GNormPlus
7814385	8814	p42	GNormPlus
7814622	100616444	env	GNormPlus
7814622	920	CD4	GNormPlus
7814625	966	min-1	GNormPlus
7813998	632	osteocalcin	GNormPlus|MESH
7814401	19730	RGDS	GNormPlus
7814401	5900	RGDS	GNormPlus
7814402	14813	NR2C	GNormPlus|gene2pubmed
7814402	14810	NMDAR1	GNormPlus
7814404	1301	COL11A1	gene2pubmed|GNormPlus
7814404	6667	Sp1	GNormPlus
7814404	7020	AP2	GNormPlus
7814409	822	Cap G|cap G	gene2pubmed|GNormPlus|MESH
7814630	24654	PLC beta 1	GNormPlus
7814630	25738	PLC gamma 1	GNormPlus
7814190	100508689	mucin	GNormPlus
7814413	12400	CBF-B	GNormPlus
7814413	12606	CBF-A	GNormPlus
7814413	4800	CBF-A	GNormPlus
7814413	4802	CBF-C	GNormPlus
7814413	865	CBF-B	GNormPlus
7814415	110391	DHPR	GNormPlus
7814416	94202	PC12-PTP1	RGD|GNormPlus|MESH|gene2pubmed
7814416	24697	protein tyrosine phosphatase|PTP	GNormPlus
7814416	310738	NGF|nerve growth factor	GNormPlus
7814420	25139	GLUT4	MESH|GNormPlus
7814420	25467	IRS-1	MESH|GNormPlus
7814420	24954	insulin receptor	GNormPlus
7814632	18670	mdr2	GNormPlus|gene2pubmed
7814632	67078	P-glycoprotein|Pgp	GNormPlus
7814633	7124	TNF-alpha	GNormPlus
7814642	25303	cMOAT	GNormPlus
7814643	25051	GLP-1 receptor	GNormPlus|MESH
7814643	24952	GLP-1 and 3|Glucagon-like peptide-1|GLP-1	GNormPlus
7814643	25040	glucose-dependent insulinotropic peptide	GNormPlus
7814012	2157	coagulation factor VIII|FVIII|factor VIII	GNormPlus
7814013	5053	phenylalanine hydroxylase	MESH|GNormPlus
7814191	6271	smooth-muscle actin, and S-100	GNormPlus
7814191	7431	vimentin	GNormPlus
7814192	7157	p53	GNormPlus
7814195	5111	PCNA|proliferating cell nuclear antigen	GNormPlus
7814196	1956	epidermal growth factor receptor|EGF-R	GNormPlus
7814196	2064	c-erbB-2	GNormPlus
7814196	374	AR|amphiregulin	GNormPlus
7814196	7039	TGF-alpha	GNormPlus
7814196	7124	transforming growth factor-alpha	GNormPlus
7814428	16059	IgG	GNormPlus
7814645	24179	AngII|angiotensin II	GNormPlus
7814645	24180	AT1-R|AT1a	GNormPlus
7814645	24182	AT2-R	GNormPlus
7814645	81638	AT1b	GNormPlus
7814647	3565	IL-4	GNormPlus
7814647	3586	IL-10	GNormPlus
7814647	958	CD40	GNormPlus
7814647	959	gp39|CD40 ligand	GNormPlus
7814649	3552	IL-1	GNormPlus
7814649	3557	icIL-1ra|IL-1ra|interleukin-1 receptor antagonist|Interleukin-1 receptor antagonist	GNormPlus
7814649	64374	sIL-1	GNormPlus
7814650	403850	IL-8|Interleukin-8	gene2pubmed|GNormPlus
7814650	403975	ICAM-1	GNormPlus
7814025	348	apolipoprotein E|apo E4|apo E	GNormPlus
7814032	2737	GLI3|GCPS	GNormPlus
7814035	3587	IL-10R|interleukin-10 receptor	gene2pubmed|GNormPlus
7814441	65035	Ca2+ receptor|CaR	GNormPlus
7814664	543313	peroxidase	GNormPlus
7814672	286936	CT beta	GNormPlus
7814050	116637	CCl4	GNormPlus
7814444	633	biglycan	GNormPlus
7814444	7124	Tumor necrosis factor|TNF	GNormPlus
7814444	960	heparan sulfate proteoglycan|HSPG	GNormPlus
7814452	1956	epidermal growth factor (EGF) receptor|EGF receptor	GNormPlus
7814682	5816	parvalbumin|Parvalbumin	GNormPlus
7814690	54226	amyloid precursor protein|APP	GNormPlus
7814458	27087	CD57	GNormPlus
7814458	3683	CD11a	GNormPlus
7814458	3688	CD29	GNormPlus
7814458	5788	CD45	GNormPlus
7814458	920	CD4	GNormPlus
7814458	925	CD8	GNormPlus
7814695	4143	Sams	GNormPlus
7814073	79931	Lind	GNormPlus
7814074	108635503	IFN-tau	GNormPlus
7814074	111654	IFN-alpha	GNormPlus
7814074	12977	CSF-1	GNormPlus
7814074	12981	GM-CSF	GNormPlus
7814074	12985	G-CSF	GNormPlus
7814074	16187	IL-3	GNormPlus
7814074	16878	LIF|Leukemia inhibitory factor	GNormPlus
7814241	920	CD4	GNormPlus
7815374	2335	fibronectin	GNormPlus
7815387	3643	IR|insulin receptor	GNormPlus
7814832	2688	growth hormone|GH	GNormPlus
7815169	396884	somatotropin	GNormPlus
7815388	4922	Neurotensin|neurotensin	GNormPlus
7814849	24249	calbindin-D9k	MESH|GNormPlus
7814849	83839	calbindin	MESH|GNormPlus
7815176	24680	PKC alpha	GNormPlus
7814855	1636	ACE|angiotensin converting enzyme|Angiotensin converting enzyme	GNormPlus
7815041	590	cholinesterase	GNormPlus
7815414	27130	Inv	GNormPlus
7815417	2778	GNAS1|Gs alpha	gene2pubmed|GNormPlus
7815417	14683	GNAS1	GNormPlus
7814861	2217	alpha-chain	GNormPlus
7814861	3558	IL-2	GNormPlus
7814861	3600	IL-15	GNormPlus
7814861	959	CD40L	GNormPlus
7814862	2214	Fc gamma RIIIA	GNormPlus
7814862	3558	IL-2	GNormPlus
7814862	4609	c-myc	GNormPlus
7814865	1800414	DR1501	GNormPlus
7814865	2945592	DP0402	GNormPlus
7815054	10714	p66	GNormPlus
7815054	3578	p40	GNormPlus
7815054	5111	cyclin	GNormPlus
7815054	983	p34cdc2	GNormPlus
7815055	24224	bcl-2|Bcl-2	GNormPlus
7815456	29248	cTNI|Cardiac troponin I	GNormPlus
7814870	3107	MHC	GNormPlus
7814873	2214	CD16	GNormPlus
7814873	3458	IFN-gamma	GNormPlus
7814873	3558	IL-2	GNormPlus
7814873	5788	CD45	GNormPlus
7814873	933	CD22	GNormPlus
7814875	16186	gamma-C	GNormPlus
7814875	21636	V gamma 2	GNormPlus
7814880	20878	allogeneic (I-Ad) or syngeneic (I-Ak	GNormPlus
7815058	18049	NGF|nerve growth factor	GNormPlus
7815058	396466	NGF	GNormPlus
7815059	5031	P2 purinoceptor	GNormPlus
7815220	4146	CMP	GNormPlus
7815230	1738	Lipoamide dehydrogenase|lipoamide dehydrogenase	GNormPlus|MESH
7815422	2690	growth hormone receptor	GNormPlus
7815434	410	ARSA|arylsulphatase A	GNormPlus
7814884	25290	5-lipoxygenase	GNormPlus
7814884	25651	P-selectin	GNormPlus
7814884	309684	CD18	GNormPlus
7814884	58949	platelet-activating factor (PAF)-receptor	GNormPlus
7814888	5340	Plasmin|plasmin	GNormPlus|BioGRID|MESH|gene2pubmed|HPRD
7814888	730	Complement component C7	MESH|gene_interactions|BioGRID|HPRD|gene2pubmed|GNormPlus
7815068	396092	DM-GRASP|SC1	GNormPlus
7815068	6941	SC1	GNormPlus
7815237	5580	May 1	GNormPlus
7815439	3240	haptoglobin	GNormPlus
7814889	1437	GM-CSF	GNormPlus
7814889	16153	IL-10	GNormPlus
7814889	3458	IFN-gamma	GNormPlus
7814889	3558	IL-2	GNormPlus
7814889	3565	IL-4	GNormPlus
7814889	3586	IL-10	GNormPlus
7814889	51497	Th1	GNormPlus
7814889	7124	TNF	GNormPlus
7814890	16193	IL-6	GNormPlus
7814892	920	CD4	GNormPlus
7814892	925	CD8	GNormPlus
7815069	396257	Ca2	GNormPlus
7815247	7941	PAF acetylhydrolase|PAF-AH|Platelet-activating factor acetylhydrolase	GNormPlus
7815247	966	min-1	GNormPlus
7815256	3274	histamine (H2)-receptor	GNormPlus
7814757	717	CO2	GNormPlus
7815077	1769	ATPase	GNormPlus
7815077	3423	SIDS	GNormPlus
7815081	4763	neurofibromatosis 1|NF1	GNormPlus
7815081	7157	TP53	GNormPlus
7815285	810	CLp	GNormPlus
7815285	923	t1/2p	GNormPlus
7814775	183	angiotensin II|angiotensin II and 5	GNormPlus
7814958	6741	SS-B	GNormPlus
7814972	24516	jun	GNormPlus
7814972	24517	jun-B	GNormPlus
7814972	314322	c-fos|fos	GNormPlus
7815324	116562	interleukin-2|IL-2	GNormPlus
7815328	106479023	P < .05	GNormPlus
7815334	1477686	MK-0383	GNormPlus
7815334	482840	tissue-type plasminogen activator	GNormPlus
7814785	3559	CD25	GNormPlus
7814988	4318	MMP-9|matrix metalloproteinase-9	GNormPlus|MESH
7815132	4908	neurotrophic factor	GNormPlus
7815343	24176	beta 2-adrenoceptor	GNormPlus
7815354	7432	VIP|vasoactive intestinal polypeptide	GNormPlus
7815358	303413	myeloperoxidase|MPO	GNormPlus
7814797	116637	CCl4	GNormPlus
7814797	24179	Angiotensin II|angiotensin II|angiotensin II and vasopressin	GNormPlus
7814798	1435	M-CSF|macrophage colony stimulating factor	GNormPlus
7814804	102724197	gamma-glutamyl transpeptidase	GNormPlus
7815363	300795	PAF|platelet-activating factor	GNormPlus
7815373	3552	IL-1	GNormPlus
7815373	3565	IL-4	GNormPlus
7815373	3565;3569	IL-4- and IL-6	GNormPlus
7815373	3569	IL-6	GNormPlus
7815799	4878	ANF	GNormPlus
7816007	3552	interleukin-1 alpha	GNormPlus
7816007	3553	interleukin-1 beta	GNormPlus
7816007	3558	interleukin-2	GNormPlus
7816007	3569;7124	interleukin-6 and tumor necrosis factor-alpha	GNormPlus
7816007	5741	PTH|parathyroid hormone	GNormPlus
7816007	5744	parathyroid hormone-related peptide	GNormPlus
